"","TaskPit - 右クリック","ブラウザ - 右クリック","メール - 右クリック","プログラミング - 右クリック","テキスト閲覧・編集 - 右クリック","プレゼン編集 - 右クリック","データ分析 - 右クリック","ファイル操作 - 右クリック","ネットワーク - 右クリック","マルチメディア - 右クリック","登録外 - 右クリック"
"2013年02月04日23時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日23時35分","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月04日23時40分","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月05日10時10分","0","0","0","0","0","0","2","0","0","0","0"
"2013年02月05日10時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時45分","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日10時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時50分","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日14時55分","0","0","0","0","0","0","0","0","0","0","5"
"2013年02月05日15時00分","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月05日15時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時10分","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月05日15時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時20分","0","0","0","0","0","0","0","1","0","0","3"
"2013年02月05日17時25分","0","0","0","0","0","0","0","1","0","0","0"
"2013年02月05日17時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日20時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日21時55分","0","0","0","0","0","0","0","0","0","0","10"
"2013年02月05日22時00分","0","0","0","0","0","0","0","0","0","0","14"
"2013年02月05日22時05分","0","0","0","0","0","0","0","0","0","0","15"
"2013年02月05日22時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時15分","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月05日22時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時30分","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日22時35分","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日22時40分","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月05日22時45分","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日22時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日22時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日23時00分","0","0","0","0","0","0","0","0","0","0","0"
