"","TaskPit - 左クリック","ブラウザ - 左クリック","メール - 左クリック","プログラミング - 左クリック","ワード - 左クリック","プレゼン編集 - 左クリック","エクセル - 左クリック","ファイル操作 - 左クリック","文書閲覧　 - 左クリック","調査　 - 左クリック","SQLサーバ　 - 左クリック","テスト　 - 左クリック","プログラミング・デバッグ　 - 左クリック","登録外 - 左クリック"
"2013年02月05日11時10分","1","31","29","0","0","0","0","4","0","0","0","0","0","0"
"2013年02月05日11時15分","0","33","31","0","0","0","0","5","2","0","0","0","0","0"
"2013年02月05日11時20分","0","3","23","0","0","0","0","4","4","0","0","0","0","0"
"2013年02月05日11時25分","0","10","19","0","0","0","0","16","2","0","0","0","0","0"
"2013年02月05日11時30分","0","2","7","0","0","0","0","0","8","0","0","0","0","0"
"2013年02月05日11時35分","0","2","15","0","0","0","0","7","4","0","0","0","0","0"
"2013年02月05日11時40分","0","1","35","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時45分","0","1","26","0","0","0","0","1","0","0","0","0","0","0"
"2013年02月05日11時50分","0","0","51","0","0","0","1","18","0","0","0","0","0","2"
"2013年02月05日11時55分","0","9","45","0","0","0","8","14","0","0","0","0","0","0"
"2013年02月05日12時00分","0","0","4","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時10分","0","4","11","0","0","0","0","5","0","0","0","0","0","0"
"2013年02月05日12時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時20分","0","0","13","0","0","0","0","1","0","0","0","0","0","0"
"2013年02月05日12時25分","0","3","13","0","0","3","18","22","0","0","0","0","0","0"
"2013年02月05日12時30分","0","0","0","0","0","7","0","33","3","0","0","0","0","0"
"2013年02月05日12時35分","0","8","0","0","0","3","6","6","0","0","0","0","0","5"
"2013年02月05日12時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"2013年02月05日12時45分","0","0","1","0","0","0","0","0","0","0","0","0","0","5"
"2013年02月05日12時50分","0","0","0","0","0","0","0","1","0","0","0","0","0","5"
"2013年02月05日12時55分","0","1","1","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月05日13時00分","0","2","2","0","0","0","0","2","0","0","0","0","0","5"
"2013年02月05日13時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時30分","0","16","7","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日13時35分","0","12","8","0","0","0","3","0","0","0","0","0","0","6"
"2013年02月05日13時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"2013年02月05日13時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時50分","0","0","3","0","0","0","42","30","0","0","0","0","0","15"
"2013年02月05日13時55分","0","0","6","0","0","2","5","88","1","0","0","0","0","9"
"2013年02月05日14時00分","1","2","15","0","0","0","0","50","0","0","0","0","0","9"
"2013年02月05日14時05分","0","0","0","0","0","0","52","73","0","3","0","0","0","0"
"2013年02月05日14時10分","0","0","0","0","0","0","33","9","0","7","0","0","0","6"
"2013年02月05日14時15分","0","0","0","0","0","0","57","9","0","0","0","0","0","0"
"2013年02月05日14時20分","0","0","0","0","0","0","30","23","0","15","0","0","0","22"
"2013年02月05日14時25分","0","0","0","0","0","0","57","2","0","0","0","0","0","5"
"2013年02月05日14時30分","0","0","0","0","0","0","48","2","0","0","0","0","0","43"
"2013年02月05日14時35分","0","4","4","0","0","0","1","0","0","0","0","0","0","13"
"2013年02月05日14時40分","0","0","5","0","0","0","46","20","0","0","0","0","0","9"
"2013年02月05日14時45分","0","0","2","0","0","0","50","5","0","0","0","0","0","0"
"2013年02月05日14時50分","0","0","0","0","0","0","7","1","0","0","0","0","0","0"
"2013年02月05日14時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時00分","0","0","1","0","0","0","30","4","0","0","0","0","0","0"
"2013年02月05日15時05分","0","7","9","0","0","0","29","1","0","0","0","0","0","6"
"2013年02月05日15時10分","0","5","4","0","0","0","44","19","0","0","0","0","0","9"
"2013年02月05日15時15分","0","1","25","0","0","0","1","0","0","0","0","0","0","0"
"2013年02月05日15時20分","0","0","2","0","0","0","12","0","0","0","0","0","0","0"
"2013年02月05日15時25分","0","4","0","0","0","0","60","4","0","0","0","0","0","0"
"2013年02月05日15時30分","0","0","0","0","0","0","27","9","0","0","0","0","0","2"
"2013年02月05日15時35分","0","0","0","0","0","0","65","17","0","0","0","0","0","0"
"2013年02月05日15時40分","0","0","0","0","0","0","29","1","0","0","0","0","0","0"
"2013年02月05日15時45分","0","0","11","0","0","0","36","3","0","0","0","0","0","0"
"2013年02月05日15時50分","0","0","0","0","0","0","70","7","0","0","0","0","0","0"
"2013年02月05日15時55分","0","0","12","0","0","0","37","7","0","0","0","0","0","0"
"2013年02月05日16時00分","0","0","7","0","0","0","0","1","0","0","0","0","0","0"
"2013年02月05日16時05分","0","0","20","0","0","0","6","2","0","0","0","0","0","0"
"2013年02月05日16時10分","0","0","7","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時15分","0","1","8","0","0","0","0","3","0","0","0","0","0","0"
"2013年02月05日16時20分","0","0","52","0","0","0","0","2","0","0","0","0","0","0"
"2013年02月05日16時25分","0","11","15","0","0","0","96","1","0","0","0","0","0","0"
"2013年02月05日16時30分","0","3","5","0","0","0","57","8","0","0","0","0","0","1"
"2013年02月05日16時35分","0","2","0","0","0","0","48","9","0","0","0","0","0","2"
"2013年02月05日16時40分","0","10","0","0","0","0","9","1","0","0","0","0","0","0"
"2013年02月05日16時45分","0","6","3","0","0","0","31","10","0","0","0","0","0","7"
"2013年02月05日16時50分","0","0","1","0","0","0","37","6","0","0","0","0","0","1"
"2013年02月05日16時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時00分","0","1","2","0","0","0","3","0","0","0","0","0","0","0"
"2013年02月05日17時05分","0","14","21","0","0","0","2","2","1","0","0","0","0","0"
