"","TaskPit - 左クリック","ブラウザ - 左クリック","メール - 左クリック","プログラミング - 左クリック","ワード - 左クリック","プレゼン編集 - 左クリック","エクセル - 左クリック","ファイル操作 - 左クリック","文書閲覧 - 左クリック","調査 - 左クリック","SQLサーバ - 左クリック","テスト - 左クリック","プログラミング・デバッグ - 左クリック","登録外 - 左クリック"
"2013年02月05日09時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月05日09時25分","0","23","11","0","0","0","5","0","0","0","0","0","0","0"
"2013年02月05日09時30分","0","2","5","0","0","0","1","1","0","0","0","0","0","0"
"2013年02月05日09時35分","0","14","3","0","0","0","0","16","0","0","0","0","0","2"
"2013年02月05日09時40分","0","2","0","0","0","0","0","1","0","0","0","0","0","9"
"2013年02月05日09時45分","0","1","3","0","0","0","0","1","0","0","0","0","0","5"
"2013年02月05日09時50分","0","6","1","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日09時55分","0","3","1","0","0","0","7","4","0","0","0","0","0","17"
"2013年02月05日10時00分","0","21","0","0","0","0","1","3","0","0","0","0","0","18"
"2013年02月05日10時05分","0","27","18","0","0","0","1","27","0","0","0","0","0","7"
"2013年02月05日10時10分","0","1","3","0","0","0","6","11","0","0","0","0","0","10"
"2013年02月05日10時15分","0","4","0","0","0","0","4","0","0","0","0","0","0","0"
"2013年02月05日10時20分","0","2","0","0","0","0","3","1","0","0","0","0","0","0"
"2013年02月05日10時25分","0","1","0","0","0","0","0","14","0","0","0","0","0","8"
"2013年02月05日10時30分","0","2","1","0","0","0","0","5","0","0","0","0","0","7"
"2013年02月05日10時35分","0","8","2","0","0","0","4","18","0","0","0","0","0","9"
"2013年02月05日10時40分","0","3","5","0","4","0","1","52","0","0","0","0","0","55"
"2013年02月05日10時45分","0","0","0","0","5","0","2","25","0","2","0","16","0","4"
"2013年02月05日10時50分","0","6","0","0","0","0","20","7","0","6","0","4","0","43"
"2013年02月05日10時55分","0","8","0","0","0","0","13","6","0","0","0","1","0","0"
"2013年02月05日11時00分","0","4","0","0","0","0","6","4","0","0","0","5","0","19"
"2013年02月05日11時05分","0","11","0","0","0","0","0","8","0","0","0","3","0","17"
"2013年02月05日11時10分","0","10","0","0","0","0","0","2","0","0","0","10","0","39"
"2013年02月05日11時15分","0","10","0","0","0","0","0","7","0","0","0","1","0","30"
"2013年02月05日11時20分","0","5","0","0","0","0","4","13","0","0","0","22","0","45"
"2013年02月05日11時25分","0","2","27","0","0","0","0","2","0","0","0","1","0","35"
"2013年02月05日11時30分","0","9","18","0","0","0","0","2","0","0","0","0","0","37"
